# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=585909156
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df1a_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,aux_unscaled,p_gamma.1,p_z_beta.1,p_z_beta.2,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_z_beta.2,g_aux_unscaled
-183.386,1,0.512628,3,7,0,185.246,5.39512,-0.197842,0.707861,0.0262775,-0.639494,-1.83723,0.860301,8.27548,4.71383,-0.157448,1.07476,6.84899
-184.405,0.975813,0.512628,3,7,0,184.732,5.22675,-0.515793,-1.17246,0.00990169,-3.9076,-0.245286,0.46424,8.15128,-15.4005,-0.323897,-1.23171,1.80277
-184.395,0.976447,0.512628,3,7,0,186.664,5.51537,-0.169673,0.124102,-0.0123335,-8.36866,0.280313,2.07018,3.64742,20.2255,-0.0413078,0.361495,-5.35276
-184.18,0.908193,0.512628,3,7,0,187.113,5.32376,-0.335671,-0.513054,0.101633,-21.5245,-0.107609,-0.578464,17.5955,-3.0984,-0.204274,-0.441593,24.0264
-183.725,0.999244,0.512628,3,7,0,184.488,5.35982,-0.621379,-0.796187,0.0688891,-4.0386,0.100086,-0.0557401,18.2103,0.551636,-0.518345,-0.751977,17.3526
-185.832,0.927686,0.512628,3,7,0,186.683,5.43359,0.25209,-0.980392,-0.126268,2.79669,-0.360935,-0.840656,14.7892,12.4718,0.74591,-1.12081,-35.8243
-184.878,0.998811,0.512628,3,7,0,187.332,5.25392,0.0104842,0.84567,0.0906647,-1.13283,-1.60563,-0.212799,25.7619,-10.3223,0.0793485,1.17578,20.2138
-185.367,0.921581,0.512628,3,7,0,188.848,5.3657,-1.53098,0.231093,-0.101018,-13.5417,-1.12838,2.13345,7.10037,1.65812,-1.85559,0.762214,-27.1946
-185.982,0.95593,0.512628,3,7,0,188.077,5.30974,1.13159,-0.537294,0.129302,5.44899,0.54438,-0.326315,-29.4806,-4.26163,1.57185,-0.619834,28.5698
-185.073,0.996498,0.512628,3,7,0,187.637,5.37879,0.479738,-0.158501,0.131,13.9662,-1.73251,0.865541,-6.75688,2.27995,0.742301,-0.100795,29.5011
