# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=269645765
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df1_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,aux_unscaled,p_gamma.1,p_z_beta.1,p_z_beta.2,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_z_beta.2,g_aux_unscaled
-183.088,0.988264,0.486746,3,7,0,183.653,5.30384,0.000163846,0.00847467,-0.0262779,5.79129,-11.8471,-16.9573,-4.89685,-6.57757,7.31279,17.0991,-6.28552
-183.477,0.904555,0.486746,3,7,0,186.543,5.43229,-0.063442,-0.0495054,0.0332515,9.44353,-4.37645,3.77747,35.6801,8.91945,-19.5732,-4.84694,7.88589
-184.205,0.961047,0.486746,3,7,0,185.008,5.28213,-0.0147876,0.0347911,-0.0342682,-4.70494,8.98797,-16.5299,-13.8233,-9.53796,-15.447,45.1817,-10.5242
-184.32,0.996507,0.486746,3,7,0,184.525,5.28256,-0.0221763,0.0328617,-0.040605,-2.43867,4.01197,13.704,0.119723,-9.60253,-21.0857,47.1062,-12.3422
-183.191,1,0.486746,3,7,0,184.685,5.37069,-0.0110947,-0.0377175,0.0581772,8.43519,3.98855,-32.8788,10.1922,1.75181,13.649,-13.7529,14.7106
-184.153,0.903789,0.486746,3,7,0,186.621,5.20659,-0.0466113,-0.0203684,0.0321457,-12.5384,-23.5639,21.9907,20.7754,-17.0526,-17.502,10.4928,6.25333
-183.749,1,0.486746,3,7,0,184.266,5.49116,-0.0176473,-0.0176799,-0.0224971,-5.29751,-2.7237,16.9148,8.10937,17.5318,2.94828,2.65181,-6.65625
-185.101,0.956456,0.486746,3,7,0,186.409,5.41874,-0.00080925,-0.00639103,-0.128272,15.2834,-4.29212,-3.86291,11.375,10.1664,15.1181,6.52774,-35.8911
-183.295,0.966842,0.486746,2,7,0,186.182,5.38358,-0.0216943,-0.00754068,-0.0750414,9.3653,24.6918,4.70088,-30.8458,4.12514,-4.74113,13.8322,-18.9329
-184.275,0.859352,0.486746,3,7,0,186.006,5.36793,-0.0498361,-0.0881342,0.0702797,-4.48527,-29.356,22.3104,15.2956,1.4149,3.44376,-34.9395,15.5909
-183.471,1,0.486746,3,7,0,184.654,5.38245,-0.0377545,-0.000888311,-0.0657553,7.70214,-26.6953,-17.5644,5.47381,3.88998,-21.6805,26.2584,-16.9551
-183.312,1,0.486746,3,7,0,184.04,5.32554,-0.025665,-0.0503683,0.0612263,7.41223,-6.00164,16.1176,10.5278,-3.16449,7.71231,-17.5752,15.237
-184.405,0.938579,0.486746,3,15,0,186.948,5.4515,0.0366544,0.0133419,0.0472811,-11.3381,-25.7436,-37.6356,9.40765,10.8197,30.4349,5.88432,9.54814
-184.165,0.988428,0.486746,3,7,0,186.352,5.31452,-0.069838,-0.0587223,-0.0811965,17.0131,6.89305,24.178,-13.4934,-5.79726,-26.4072,-11.7021,-22.2091
-184.834,0.871444,0.486746,3,7,0,186.695,5.31907,-0.0931897,-0.0101613,0.0173502,2.98009,12.6092,14.1542,26.9481,-4.22239,-56.5967,35.1464,1.17944
-185.363,0.950924,0.486746,2,3,0,186.572,5.37945,-0.105839,-0.0181667,0.042446,-6.67167,-24.3241,23.4883,-4.24358,2.79575,-60.1215,32.0281,6.42635
-184.455,0.949252,0.486746,2,7,0,189.275,5.17937,-0.0106646,-0.016899,0.0221657,16.4093,-65.0796,4.75947,7.64092,-20.5931,7.60163,0.525813,3.14331
