# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=311438810
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df2_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,aux_unscaled,p_gamma.1,p_aux_unscaled,g_gamma.1,g_aux_unscaled
-181.734,0.971858,0.650605,1,1,0,181.781,5.25318,-0.0381573,2.93227,-1.93567,-13.4487,-10.2341
-183.115,0.891413,0.650605,3,7,0,184.868,5.5454,0.0116784,3.0996,-31.9279,22.8812,-0.484073
-182.484,1,0.650605,2,3,0,183.079,5.51486,0.0187563,-11.1088,2.41689,18.9474,2.55315
-181.762,1,0.650605,3,7,0,182.976,5.29884,0.0722464,15.2094,8.32261,-5.93439,17.4269
-182.459,0.986292,0.650605,3,7,0,182.521,5.40957,-0.103535,2.97421,-3.4145,8.29031,-28.0815
-181.122,1,0.650605,2,3,0,182.427,5.31394,-0.0335195,-6.4744,25.6962,-5.34787,-7.84833
-181.399,0.956832,0.650605,3,7,0,182.215,5.40887,0.0483858,-5.03402,20.3895,6.04316,12.1598
-181.401,0.987996,0.650605,3,7,0,181.892,5.44064,-0.0188556,4.54029,15.3095,10.9622,-4.72545
-181.512,0.997476,0.650605,3,7,0,181.942,5.26291,0.0272944,0.177813,-16.0208,-10.6691,6.63762
-183.783,0.90628,0.650605,3,7,0,184.145,5.47975,0.132599,-5.45762,11.4755,11.7865,28.5552
-184.329,0.957909,0.650605,2,7,0,185.967,5.25997,0.159706,-15.5634,-17.0873,-8.45275,34.2787
-184.329,0.972174,0.650605,1,1,0,184.852,5.25997,0.159706,-4.35547,16.0757,-8.45275,34.2787
-181.763,0.957941,0.650605,2,7,0,186.185,5.46012,-0.0355602,-11.4453,47.6342,13.9019,-9.63922
-182.746,0.875027,0.650605,3,7,0,184.254,5.20178,0.0658646,-15.1304,-15.8608,-16.4602,13.8594
-181.894,0.965092,0.650605,3,7,0,183.854,5.4543,-0.0532226,-20.0816,5.19823,13.6073,-14.3333
-181.445,0.990165,0.650605,2,3,0,182.297,5.27736,-0.0379106,-11.6804,11.043,-10.2402,-9.59538
-180.975,1,0.650605,2,3,0,181.418,5.35919,-0.0277723,8.58064,7.4368,0.58713,-6.11244
-180.92,0.98765,0.650605,1,3,0,181.162,5.33767,-0.00359805,-2.80011,11.0703,-2.10186,0.0651998
-180.983,0.98479,0.650605,3,7,0,181.157,5.38902,0.00438279,-5.97731,-1.6284,4.1821,1.94308
-181.012,0.975407,0.650605,2,7,0,181.57,5.34726,-0.0328762,-6.4461,-14.666,-0.971485,-7.46684
-180.918,0.978343,0.650605,1,3,0,181.35,5.36871,0.00140992,-2.91365,-15.2995,1.71944,1.32647
-182.643,0.901696,0.650605,2,7,0,182.894,5.2537,0.0982242,-4.02578,10.1702,-10.1901,22.1921
-182.555,1,0.650605,3,7,0,183.258,5.32228,0.113366,12.136,-1.56674,-3.17104,26.1729
