# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=585909156
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df1a_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,aux_unscaled,p_gamma.1,p_z_beta.1,p_z_beta.2,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_z_beta.2,g_aux_unscaled
-186.172,0.939368,0.513275,3,7,0,186.674,5.46871,1.3583,1.33012,-0.018033,-7.13791,0.875127,-0.111188,1.94139,14.5173,1.76618,1.69151,-6.76978
-184.476,0.987797,0.513275,3,7,0,187.949,5.51951,0.153448,-0.363646,0.00210308,14.0818,1.89081,1.84604,-8.32833,20.1571,0.4295,-0.300307,-1.77964
-183.135,1,0.513275,3,7,0,184.762,5.37932,-0.0818842,0.602408,0.0117962,-19.0803,-0.339397,0.387548,0.157752,2.95705,0.00425004,0.93884,3.54519
-183.98,0.975003,0.513275,3,7,0,184.245,5.33199,0.690783,0.611552,0.0619063,-2.94396,0.116249,-0.777992,-2.03089,-2.46059,0.956602,0.830442,14.9202
-183.916,0.996685,0.513275,3,7,0,184.988,5.29549,-0.836939,-0.00328656,-0.0741698,-8.21239,0.689888,1.21151,6.90726,-8.4276,-0.88692,0.326279,-19.2556
-183.279,0.997741,0.513275,3,7,0,184.301,5.41424,-0.0680855,-0.403959,0.0471391,-2.74232,-1.29347,0.22798,-13.7947,6.65832,0.133101,-0.329739,11.9291
-184.212,0.976463,0.513275,3,7,0,184.617,5.47431,-0.512334,0.649599,0.0324718,-5.87363,-0.093197,0.413993,-10.0237,13.7687,-0.546997,1.03561,6.89869
-184.799,0.9623,0.513275,3,7,0,186.301,5.27454,0.163093,-1.47491,0.0627346,13.9855,-0.43634,1.197,7.11835,-8.68093,0.53569,-1.67425,14.8411
-184.298,0.97048,0.513275,3,7,0,187.62,5.38331,-0.358321,1.33658,-0.0227973,22.2363,0.114764,-0.60802,-23.8267,3.68054,-0.44464,1.93361,-5.91931
-182.998,0.981126,0.513275,2,7,0,185.45,5.29811,-0.171121,-0.205808,0.0238668,7.65535,-0.325153,2.35468,-9.77456,-6.62191,-0.011764,-0.0664332,6.55155
-184.667,0.933327,0.513275,3,7,0,184.89,5.31575,-1.54202,0.62216,0.0314237,-6.18664,0.0731964,-0.05572,5.52279,-4.4877,-1.84107,1.12631,7.80459
-184.327,0.998836,0.513275,3,7,0,186.112,5.399,0.236204,0.546255,0.0956729,4.84116,1.93089,-0.895126,-5.51132,4.49738,0.387683,0.785005,22.2132
-182.992,0.97201,0.513275,2,7,0,186.163,5.38098,-0.39662,-0.416663,-0.0410385,-4.18436,-0.810616,-1.31339,-33.9766,3.50781,-0.253564,-0.285969,-9.46677
-183.345,0.987623,0.513275,3,7,0,183.673,5.32335,-0.945207,-0.649313,0.020738,1.46096,-0.663281,-0.459397,-6.6208,-3.68978,-0.935806,-0.524227,6.31471
-185.299,0.712088,0.513275,2,7,0,191.815,5.15019,-0.39373,-0.104289,0.0256634,-33.9697,1.572,1.46332,1.82537,-23.8546,-0.305838,0.0867319,2.50121
-183.686,0.964034,0.513275,2,7,0,186.638,5.24912,-0.469205,0.0844045,0.0398461,-25.9771,0.0952268,-0.431113,-4.70607,-11.9695,-0.425405,0.324233,9.34533
-183.389,0.976922,0.513275,3,7,0,185.421,5.38529,0.591074,-0.651707,-0.0230951,15.4142,-1.53493,-0.0901345,-9.67977,3.93766,1.04693,-0.722153,-5.31572
