# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=311438810
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df2_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,aux_unscaled,p_gamma.1,p_aux_unscaled,g_gamma.1,g_aux_unscaled
-181.221,0.882972,0.663341,1,3,0,182.621,5.41162,0.0286108,8.55397,23.5623,6.60472,7.5497
-181.549,0.952322,0.663341,3,7,0,182.165,5.45244,-0.0207283,3.17729,-17.065,12.5132,-5.49109
-181.478,1,0.663341,3,7,0,181.979,5.27141,0.0342006,-6.10094,-13.2324,-9.54793,8.43918
-181.543,0.93555,0.663341,2,3,0,182.564,5.26122,0.0291773,14.1115,-9.68495,-10.8254,7.04827
-181.738,0.993178,0.663341,3,7,0,182.133,5.4383,-0.0563146,4.50565,12.532,11.4928,-14.7977
-183.194,0.901763,0.663341,2,3,0,183.349,5.51199,-0.0687311,5.87747,2.15306,22.1619,-20.8216
-181.289,1,0.663341,2,3,0,183.167,5.31395,0.0452121,18.8842,-13.8967,-4.56777,11.5811
-181.255,0.858259,0.663341,1,3,0,183.738,5.34943,-0.0559753,6.60687,-34.1735,-0.719157,-13.747
-181.466,0.976302,0.663341,3,7,0,181.797,5.26759,0.0277484,-0.446623,12.9365,-10.1162,6.84256
-181.255,0.933308,0.663341,2,3,0,182.886,5.31319,-0.0468683,-10.0406,24.7601,-5.59317,-11.463
-180.919,1,0.663341,3,7,0,181.217,5.34951,-0.0150701,4.83635,10.0736,-0.653192,-2.81261
-181.167,0.978907,0.663341,2,3,0,181.2,5.41345,0.0180611,-2.70873,1.02266,6.96315,5.00863
-183.554,0.772225,0.663341,2,7,0,186.138,5.43658,0.139021,1.62409,36.144,7.62035,30.6251
-183.189,1,0.663341,1,1,0,183.629,5.41828,0.130994,5.27926,12.8029,6.01373,29.3375
-183.325,0.999834,0.663341,3,7,0,183.866,5.47565,0.11752,-6.40164,13.6744,11.7488,25.6787
-181.689,0.996592,0.663341,3,7,0,183.655,5.31303,-0.0750044,16.5804,20.3051,-5.93912,-19.388
-181.672,0.799599,0.663341,2,3,0,184.561,5.35105,-0.0802808,-8.761,-36.1089,-0.520753,-20.6761
-181.746,0.996859,0.663341,2,3,0,181.816,5.35593,-0.0838473,0.813925,5.83869,0.182887,-21.72
-183.653,0.820878,0.663341,2,3,0,184.477,5.46542,-0.119052,13.9333,-2.08039,17.2517,-34.3572
-181.738,0.981852,0.663341,2,3,0,184.121,5.45736,-0.036902,-12.6752,29.4558,13.5753,-9.92658
-182.637,0.865905,0.663341,3,7,0,184.819,5.48451,0.0808318,-22.5777,4.58241,13.5674,17.835
-182.069,0.99296,0.663341,2,3,0,183.093,5.39535,0.0918037,12.8151,13.0444,4.15916,21.7266
-181.225,0.889495,0.663341,3,7,0,185.501,5.33395,0.045567,3.2046,46.3675,-2.32216,11.7996
-183.625,0.846358,0.663341,2,3,0,184.193,5.2732,-0.130671,-1.96223,16.7336,-12.9885,-37.215
-181.327,0.986466,0.663341,2,3,0,183.989,5.43504,0.0137699,11.3769,32.7996,9.60202,3.61146
-180.989,0.971914,0.663341,3,7,0,182.214,5.34006,0.0205172,14.2544,13.7465,-1.72175,5.98089
-181.021,0.996583,0.663341,2,3,0,181.067,5.31992,0.0154044,-0.787903,4.72273,-4.13759,4.63398
-181.196,0.922026,0.663341,1,3,0,182.108,5.41515,0.0212345,14.7335,0.325431,7.11845,5.7474
-181.098,0.992325,0.663341,2,7,0,181.422,5.30641,0.0175442,8.16352,4.76451,-5.72172,5.01746
-183.513,0.834513,0.663341,2,3,0,183.837,5.29669,-0.134672,-5.63998,9.83497,-9.31646,-37.9946
-181.925,0.809372,0.663341,2,3,0,187.094,5.47,-0.0373703,-5.11395,50.6895,15.2607,-10.4177
-181.594,0.956357,0.663341,3,7,0,183.375,5.30016,0.062456,-19.6396,-9.07166,-5.90808,15.3037
-181.052,0.874687,0.663341,1,3,0,184.038,5.38605,-0.0298781,-14.0613,33.0909,4.09112,-6.79333
-180.907,0.978304,0.663341,1,3,0,181.329,5.34611,-0.00132692,-6.82105,10.71,-1.05385,0.660151
-180.993,0.992301,0.663341,3,7,0,181.043,5.31669,0.000483673,3.38926,-0.8673,-4.65898,0.943666
-181.185,0.985031,0.663341,2,3,0,181.239,5.29673,-0.0266623,-3.33228,1.92842,-7.50327,-6.25221
-181.778,0.967164,0.663341,2,7,0,182.005,5.24788,0.0393279,3.88975,9.09374,-12.1227,9.12692
-181.268,1,0.663341,3,7,0,181.982,5.36023,0.0508557,-12.1847,6.77368,0.617509,13.0408
-181.745,0.973832,0.663341,2,7,0,181.901,5.43002,0.0627706,-1.77967,8.49699,8.16247,15.0802
-180.965,0.888995,0.663341,1,3,0,183.881,5.34615,-0.0254554,-14.6902,-31.9437,-1.10066,-5.51089
-182.228,0.830254,0.663341,2,3,0,183.309,5.45071,-0.0752048,-8.85871,19.5456,13.7059,-20.5139
-182.033,1,0.663341,3,7,0,182.781,5.29703,0.0860561,13.3018,-1.49185,-5.95959,20.3532
