# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=32105
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df2_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,aux_unscaled,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_aux_unscaled
-835.279,0.996334,0.402998,3,7,0,838.436,87.9151,-0.0659702,0.232587,0.229389,-0.318183,-1.74391,-46.2196,16.505,-100.149,18.1733,6.53373,72.9028,23.7251,-36.4814,-47.693
-835.205,0.976127,0.402998,3,7,0,839.307,87.7977,-0.0988554,0.258857,0.276205,-0.298906,-6.93637,-57.544,5.93216,21.6136,50.8814,3.57129,-41.622,32.5865,79.3906,-35.9326
-837.233,0.945071,0.402998,3,7,0,839.26,87.6804,-0.06756,0.259823,0.280515,-0.330758,3.15921,-50.7981,12.554,62.509,-20.7261,0.913903,69.0027,30.4072,98.4562,-59.1071
-832.886,1,0.402998,3,7,0,837.511,87.6126,-0.0930536,0.253527,0.253546,-0.220749,-0.665794,-55.6828,-42.1686,-78.855,51.8354,-0.607326,-18.7476,45.3364,9.81675,15.6074
-835.111,0.937974,0.402998,3,7,0,836.659,87.3545,-0.0862192,0.190178,0.226635,-0.272116,1.47743,18.6133,-21.5944,-71.361,-12.2487,-6.33323,1.25043,-110.525,26.1654,-19.7223
-834.941,0.997288,0.402998,3,7,0,837.524,87.7064,-0.0642244,0.22309,0.201214,-0.206014,5.82556,-35.5331,40.8608,63.6411,13.2228,1.21206,63.1669,31.9453,-95.231,20.3032
-834.129,0.939783,0.402998,3,7,0,840.27,87.6218,-0.0827276,0.207662,0.248098,-0.29805,1.86106,156.514,-64.9045,-46.5672,-19.8675,-0.497294,13.168,-93.4999,70.7166,-33.3079
-836.643,0.907833,0.402998,3,7,0,839.452,87.6852,-0.0411191,0.235828,0.239788,-0.16761,0.36585,-16.2068,76.1991,-47.0872,34.335,0.74417,118.889,12.5018,-3.98661,39.9805
-834.217,0.997162,0.402998,3,7,0,837.689,87.6914,-0.0599702,0.240143,0.222404,-0.209061,-0.22175,-103.211,-5.09057,-26.3145,-41.7261,0.928818,75.6347,50.4907,-59.8442,19.9381
-834.153,0.986874,0.402998,3,7,0,836.026,87.6265,-0.050426,0.230066,0.249052,-0.239337,-1.5223,-8.3552,-29.4966,67.1888,-25.664,-0.346328,109.155,-16.9608,31.9996,1.89442
-834.061,0.974335,0.402998,2,3,0,835.255,87.6233,-0.0499055,0.22663,0.23803,-0.23944,0.219957,-74.6264,4.10843,-30.0107,-0.478984,-0.412479,110.748,-10.7099,3.93014,2.00994
-835.01,0.98135,0.402998,3,7,0,836.486,87.9381,-0.0517368,0.235984,0.232893,-0.218758,-5.61269,50.0424,-19.9915,5.99997,-11.4981,5.80969,100.956,24.254,-24.6332,12.5319
-837.486,0.925564,0.402998,3,7,0,840.719,87.7241,-0.0453446,0.255219,0.225683,-0.29701,6.29037,32.0105,-18.4937,-11.5109,48.0657,1.8615,139.711,105.649,-85.809,-39.3912
-834.601,0.988665,0.402998,3,7,0,839.385,87.524,-0.0656714,0.204281,0.249653,-0.220045,2.36161,106.604,73.5361,-25.3535,-39.9535,-2.35848,60.7659,-92.0324,69.9541,12.5732
-834.989,0.994307,0.402998,3,7,0,837.048,87.2538,-0.0676221,0.226519,0.217429,-0.208443,2.69542,-60.4551,58.079,-40.387,-11.3562,-7.52093,53.838,18.8387,-54.5661,18.7576
-833.65,0.995674,0.402998,3,7,0,836.675,87.6111,-0.107096,0.206877,0.229617,-0.20995,8.16171,-31.5767,4.12734,39.3937,-29.5661,-0.623587,-58.2966,-54.315,7.87113,20.535
-834.736,0.978494,0.402998,4,15,0,835.795,87.4766,-0.101468,0.215484,0.243963,-0.170601,2.75415,-39.2055,-15.9614,-47.3713,-2.18868,-2.9845,-39.0949,-46.4094,33.7048,42.0004
-834.294,0.95668,0.402998,3,7,0,838.072,87.6249,-0.0697048,0.268622,0.249596,-0.2616,4.91224,6.4304,45.6418,-63.0479,-45.9664,-0.396016,53.3149,103.019,-25.63,-11.7306
-834.159,0.999379,0.402998,3,7,0,834.986,87.6094,-0.110288,0.205268,0.242084,-0.217586,-1.4682,-5.94805,41.777,39.3149,4.59254,-0.667565,-68.4146,-77.8011,46.3239,14.9363
