# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=32105
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df2_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,aux_unscaled,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_aux_unscaled
-835.367,0.724185,0.485602,3,7,0,841.066,87.6677,-0.115285,0.233288,0.211478,-0.294372,8.3749,-3.73441,-99.01,92.7342,17.6351,0.55846,-96.5816,55.1452,-96.2786,-33.5753
-834.089,1,0.485602,2,3,0,835.706,87.7543,-0.108527,0.227332,0.217293,-0.290267,-3.15919,-56.4968,37.3156,-43.7809,-12.0702,2.52429,-73.2185,25.0936,-66.1211,-28.5577
-833.695,0.993407,0.485602,3,7,0,834.848,87.8547,-0.099614,0.223531,0.214014,-0.273627,-0.043261,-52.1245,22.3529,-29.427,-21.4741,4.64924,-42.0259,17.2946,-68.4067,-17.7857
-833.171,0.993536,0.485602,3,7,0,835.131,87.6711,-0.0968509,0.240993,0.262732,-0.212112,4.23829,-35.0085,-27.6351,-64.4753,-18.0144,0.540144,-29.2777,-4.36569,53.8,20.2241
-835.975,0.89096,0.485602,2,3,0,836.445,87.6974,-0.0979908,0.247092,0.255882,-0.138367,-0.275573,21.6952,3.87298,-38.4259,-8.64255,0.907134,-28.0866,19.7438,22.054,58.8995
-836.443,0.95782,0.485602,3,7,0,839.42,87.4759,-0.0629947,0.250971,0.243036,-0.337573,0.460604,-5.57261,-86.5684,23.7538,-40.8414,-4.18596,86.7134,67.1078,-21.5664,-61.6438
-837.889,0.914336,0.485602,3,7,0,842.956,87.1798,-0.0610274,0.212369,0.233341,-0.147561,1.80684,-59.9819,-59.3947,-15.2993,66.13,-7.92453,64.2192,-38.8001,9.43274,49.5183
-837.615,0.991404,0.485602,2,3,0,839.373,87.2663,-0.0725393,0.205799,0.217897,-0.136721,5.27262,-54.3959,1.12732,-30.8737,-20.9805,-6.30828,34.5508,-35.1414,-20.6469,56.5684
-832.743,0.994728,0.485602,3,7,0,838.567,87.7381,-0.0780381,0.221373,0.225783,-0.213314,-6.63596,44.4613,-38.0661,-35.6678,68.5551,1.84743,24.5333,-7.67701,-23.8088,20.3269
-833.89,0.968923,0.485602,3,7,0,834.668,87.888,-0.104193,0.204688,0.222422,-0.254653,-3.85911,-1.54482,32.2348,5.00119,-16.1826,5.18124,-54.71,-55.0332,-10.3956,-6.78963
-833.352,0.990119,0.485602,3,7,0,835.737,87.3761,-0.0677989,0.238565,0.240089,-0.240998,-3.41862,-45.9009,-46.2632,-58.343,-26.4176,-5.50705,56.9293,22.2718,-7.88615,2.50234
-834.182,0.923707,0.485602,3,7,0,836.616,87.7385,-0.0690003,0.1927,0.218711,-0.243822,-5.07372,85.9152,-20.6934,43.74,-1.39824,1.9717,53.5949,-84.6989,-3.22272,-0.884015
-833.237,0.972424,0.485602,3,7,0,836.57,87.5999,-0.0807983,0.242705,0.234191,-0.19425,-1.71989,-88.8068,44.5036,60.8998,-28.2193,-0.815686,16.0028,39.8459,-29.125,30.799
-836.617,0.81453,0.485602,2,7,0,839.28,87.5848,-0.0645826,0.259273,0.221605,-0.168728,0.40352,-78.9021,-63.1242,40.0229,-22.3712,-1.0443,57.6848,97.7589,-82.3315,39.3671
-835.54,0.983589,0.485602,3,7,0,839.874,88.1585,-0.0891332,0.231643,0.260516,-0.218654,1.45951,58.4977,78.8162,-59.7572,45.1588,10.1529,-7.32071,-28.2861,61.6168,11.5528
-834.177,0.997708,0.485602,3,7,0,836.718,87.4313,-0.0838226,0.2432,0.233302,-0.311844,9.68415,-3.20736,5.671,38.1936,0.300376,-5.03334,9.7195,53.6233,-40.8758,-41.6748
-833.216,0.93272,0.485602,2,7,0,836.371,87.8403,-0.0946001,0.22451,0.215142,-0.232613,4.83492,-8.19227,-71.028,32.8572,40.7479,3.99199,-23.799,17.1854,-61.1008,7.79385
-834.646,0.950238,0.485602,3,7,0,835.876,87.274,-0.102022,0.20506,0.224964,-0.263377,-1.16642,50.4275,-3.39795,58.4792,-0.625416,-7.96002,-48.7982,-58.8521,-3.12179,-13.5364
-834.033,0.969736,0.485602,3,7,0,836.317,87.6878,-0.0965153,0.232769,0.204744,-0.239704,-7.71554,-43.1827,-20.8273,-38.5992,-12.7596,0.914223,-29.9201,58.0534,-105.832,1.90248
-834.045,0.959293,0.485602,2,7,0,837.403,87.5017,-0.107136,0.216189,0.206332,-0.236293,7.39988,45.9054,88.28,-25.9009,-3.31457,-2.89117,-61.5673,5.56056,-75.4985,3.922
-833.308,0.996141,0.485602,2,3,0,834.402,87.5378,-0.104912,0.211979,0.215282,-0.249034,-2.10795,-26.418,16.9671,-53.2255,15.3924,-2.20988,-56.3105,-21.0112,-43.4481,-2.25222
-832.766,0.957651,0.485602,3,7,0,835.826,87.649,-0.067337,0.228904,0.229062,-0.229074,7.34613,-15.2273,85.469,32.0251,-10.2285,0.11409,56.9513,9.48681,-26.0146,10.8212
-833.227,0.828724,0.485602,3,7,0,835.748,87.6711,-0.0879529,0.220823,0.260293,-0.231488,0.312575,57.0722,-75.6391,58.18,9.78523,0.560709,-4.00306,-60.8333,78.6133,8.4651
-832.476,0.982303,0.485602,3,7,0,835.155,87.6117,-0.0829874,0.232641,0.224129,-0.265777,0.937226,85.484,-42.2435,40.6129,27.8494,-0.683932,11.5133,29.9222,-49.6464,-10.6302
-835.576,0.900237,0.485602,3,7,0,836.519,87.8762,-0.12642,0.251402,0.257769,-0.244771,1.13674,-12.1081,-0.862871,57.9604,13.9728,4.83552,-121.433,34.636,26.4072,-4.18432
-834.659,0.965873,0.485602,3,7,0,838.154,87.6439,-0.0930761,0.245073,0.277369,-0.296516,-4.90861,116.926,-0.935172,-46.5231,0.756533,0.0124093,-21.8759,-16.158,106.253,-33.4145
-834.118,0.95542,0.485602,2,3,0,835.886,87.6926,-0.0958206,0.229359,0.270921,-0.276954,0.637046,6.87072,-13.5771,-74.2124,25.249,1.09055,-29.9671,-56.157,106.761,-20.6002
-832.75,0.929661,0.485602,2,3,0,835.9,87.7615,-0.098774,0.239297,0.249337,-0.276766,2.36456,-7.31668,49.3711,-107.863,4.54618,2.61525,-39.5589,11.2557,20.3912,-17.7567
-833.579,0.930921,0.485602,3,7,0,834.902,87.6658,-0.102436,0.205956,0.242708,-0.264297,2.62886,-14.4258,55.1585,40.0242,-14.7613,0.484765,-50.2013,-84.2452,51.7233,-11.9466
-837.332,0.88344,0.485602,3,7,0,840.147,87.4565,-0.13814,0.243866,0.259467,-0.27248,-3.06156,-31.4231,109.387,13.5612,5.72785,-4.10095,-166.128,9.56567,45.5134,-24.3309
-834.012,1,0.485602,2,3,0,837.63,87.6636,-0.121513,0.23673,0.244272,-0.262803,4.90813,113.569,-23.5459,-45.7083,14.3934,0.436555,-110.373,10.8409,7.87753,-11.8969
-833.231,0.953396,0.485602,3,7,0,837.768,87.4846,-0.0751492,0.226693,0.232483,-0.197299,-6.0672,-122.949,-11.0063,-9.04216,33.2173,-2.99794,31.771,-1.95891,-11.844,28.9714
-835.991,0.891227,0.485602,2,3,0,836.487,87.1915,-0.0769618,0.209068,0.224937,-0.175385,1.18544,-26.8282,-8.29301,-5.88079,-19.4755,-8.167,25.5931,-38.6458,-7.97276,36.6015
-834.245,1,0.485602,3,7,0,837.383,87.9941,-0.0933776,0.257265,0.25787,-0.254817,-5.07913,16.4053,-8.22741,-33.1737,52.0338,7.43177,-21.0712,53.4227,18.1326,-7.55836
-834.193,0.992336,0.485602,3,7,0,836.065,87.4731,-0.0557696,0.243329,0.252616,-0.217828,-6.31201,-19.951,-62.039,-21.3303,2.09164,-3.35018,89.1135,16.9461,21.803,14.7371
-835.875,0.966322,0.485602,3,7,0,837.536,87.1148,-0.0639189,0.222549,0.24396,-0.227674,3.33583,61.1167,44.3537,34.437,10.1346,-10.6045,66.8669,-31.2171,27.3321,5.45082
-836.192,0.980773,0.485602,3,7,0,839.595,87.7988,-0.041775,0.23853,0.223341,-0.206204,-11.063,51.7172,-7.92578,5.98491,2.91254,2.98808,126.58,44.3287,-54.5818,17.7006
-836.121,0.999182,0.485602,3,7,0,838.335,87.2312,-0.110675,0.199675,0.230081,-0.271022,0.0269219,-103.886,-7.30544,17.4676,-15.5284,-9.01749,-77.3615,-85.2925,21.927,-21.0734
-837.278,0.926515,0.485602,3,7,0,840.947,87.7885,-0.0554651,0.201591,0.197277,-0.163463,-8.7779,-75.5821,-36.6428,18.9381,-24.119,2.56174,80.7161,-21.2735,-69.7963,41.1679
-835.945,0.986768,0.485602,3,7,0,839.556,87.5625,-0.116232,0.257553,0.242167,-0.312411,4.87933,-42.5941,-116.634,6.08797,7.10603,-1.92196,-103.431,88.3266,-35.0178,-45.5338
-833.445,0.994149,0.485602,3,7,0,838.308,87.6092,-0.0733257,0.226224,0.259315,-0.28085,2.57366,86.1112,-17.4835,-53.4079,57.2531,-0.761664,43.5405,-47.8598,74.6862,-21.6042
-833.676,0.989995,0.485602,3,7,0,834.72,87.8204,-0.0646717,0.228306,0.254499,-0.2699,-3.21763,8.52246,-26.8685,44.8097,-16.0056,3.86635,70.3503,-32.4208,54.2917,-15.4956
-833.007,1,0.485602,3,7,0,834.326,87.6269,-0.0691829,0.245632,0.232285,-0.249014,3.71103,62.51,-5.26519,23.435,-14.2706,-0.343186,53.5932,56.362,-42.8865,-1.62037
-833.786,0.943946,0.485602,2,3,0,834.237,87.643,-0.0655782,0.243936,0.220965,-0.236524,-0.398587,21.2649,39.757,-9.11499,-6.74519,-0.00681242,63.084,66.8661,-73.2426,4.3122
-833.448,0.988483,0.485602,3,7,0,836.14,87.588,-0.105999,0.249754,0.265229,-0.245055,4.52421,-56.189,11.4388,-86.2901,-2.7599,-1.15012,-59.1833,18.2467,51.7021,-0.102171
-835.522,0.902852,0.485602,3,7,0,836.742,87.69,-0.116829,0.259155,0.243484,-0.299506,1.2089,60.8215,-44.8866,-24.0756,0.514048,1.08031,-102.832,89.2911,-32.3605,-36.9393
-833.881,0.989305,0.485602,3,7,0,837.371,87.486,-0.0620405,0.222027,0.254048,-0.230135,3.18951,67.0325,-38.2167,-46.3399,45.3448,-3.17334,72.7609,-47.8544,58.1204,7.96425
-834.646,0.940585,0.485602,3,7,0,836.668,87.4298,-0.0747412,0.218324,0.266731,-0.251403,-1.35595,-81.6725,0.245526,34.8451,-25.0706,-4.49387,36.6712,-80.9835,105.556,-6.3278
