# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=15421
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df1_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,z_beta.4,z_beta.5,aux_unscaled,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_z_beta.4,p_z_beta.5,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_z_beta.4,g_z_beta.5,g_aux_unscaled
-828.669,0.946893,0.286915,4,15,0,830.207,87.5962,-0.156202,0.161875,0.120207,0.0464116,0.137292,-0.218183,1.86533,-6.19127,1.01801,-10.3911,33.4035,35.2308,12.5019,-0.928115,36.2344,-67.8662,-34.7688,3.05647,-9.20263,29.2084
-826.714,0.987913,0.286915,4,15,0,830.402,87.7055,-0.148322,0.210402,0.151629,0.0182052,0.10989,-0.335503,-0.571618,-58.2419,26.0304,3.36932,1.83302,58.9715,0.0848766,1.54639,-16.24,0.6188,-48.5437,9.49966,-61.8169,-37.2926
-825.938,0.95323,0.286915,2,7,0,828,87.6831,-0.148436,0.215577,0.177064,0.0139141,0.128359,-0.28293,-1.0825,1.90301,31.8738,7.0447,12.9226,6.27761,40.4847,0.891541,5.85674,-52.3894,74.4333,-33.5936,55.3682,-4.1699
-827.843,0.857412,0.286915,3,7,0,831.186,87.6369,-0.152869,0.189172,0.145183,0.00188656,0.138253,-0.295773,1.84828,5.41954,19.0628,79.6833,-11.9574,1.74387,8.47214,-0.147034,-12.1815,-125.365,47.2372,-110.812,51.7635,-15.707
-828.712,0.971214,0.286915,3,15,0,830.743,87.3791,-0.133163,0.224669,0.151117,0.0414496,0.118844,-0.268,-4.88695,-5.0556,37.41,24.664,11.605,-20.2423,19.2669,-5.7474,80.2178,84.8789,-72.2038,127.839,-34.0276,-0.765796
-828.563,0.993332,0.286915,4,15,0,832.261,87.8255,-0.208927,0.209584,0.117135,0.0297183,0.18787,-0.257999,-4.58819,5.17102,48.6419,-41.6067,-6.87769,-52.2198,3.66347,3.88455,-78.4276,-2.4131,-5.28963,-56.9566,31.7363,5.56721
-828.144,0.862926,0.286915,4,31,0,833.762,87.4888,-0.112034,0.239984,0.20817,-0.00461296,0.0512888,-0.270751,2.09895,-58.3233,-80.0549,-29.3293,-17.9145,-28.6002,14.5252,-3.37954,-14.6465,17.9779,-4.34342,27.4667,-90.9784,-1.27075
-827.155,1,0.286915,4,23,0,829.487,87.7703,-0.190871,0.210392,0.133832,0.0352472,0.181133,-0.293191,3.77281,8.13845,38.6325,-13.8799,-38.5846,-10.2478,20.5384,2.9039,-25.2781,-9.03068,28.8769,-26.9049,69.4235,-12.746
-828.577,0.85992,0.286915,4,15,0,831.707,87.9134,-0.146731,0.195208,0.127085,0.0443197,0.16435,-0.254365,-3.60805,52.5874,-14.9735,48.0752,16.0532,4.22847,14.4519,5.71647,103.113,-10.7317,-12.561,51.8862,69.4433,7.68696
-827.688,1,0.286915,3,7,0,829.661,87.7991,-0.205942,0.208661,0.128848,0.0439924,0.157404,-0.258575,-6.18322,24.3004,11.5046,25.6193,24.5789,10.6812,-9.60991,3.32506,-91.8538,34.8259,-41.6664,-2.42504,-44.3771,6.96327
-827.322,0.920537,0.286915,5,31,0,830.432,87.5106,-0.144944,0.202966,0.172791,0.0439414,0.139225,-0.273144,-2.08331,-36.5323,-14.877,-66.273,16.7246,-9.60632,-5.90423,-2.91726,76.028,-34.9872,71.0833,40.6356,79.1808,-1.06759
-827.754,0.894875,0.286915,3,15,0,832.749,87.6465,-0.175799,0.221755,0.157483,0.0450903,0.170731,-0.225661,3.9225,-65.0573,31.1684,-56.6451,-13.2952,-14.7107,23.7622,0.0639514,21.4037,18.7149,49.56,30.4232,77.4925,26.5979
-829.813,0.790426,0.286915,4,23,0,834.201,87.5705,-0.111327,0.252072,0.136265,-0.00702051,0.100733,-0.265844,0.0744368,82.9262,4.60643,32.5986,12.6403,-4.48978,-23.039,-1.57739,54.6413,116.029,-150.397,85.7219,-87.0428,-1.67593
-830.229,0.880527,0.286915,3,7,0,834.361,87.7432,-0.129833,0.256557,0.185656,-0.0544619,0.127617,-0.251555,2.8109,-11.2665,-26.33,75.3017,-23.3613,35.7585,3.9723,2.1023,-32.5272,-68.7002,98.5313,-145.066,94.437,6.10198
-827.028,0.919333,0.286915,4,15,0,833.788,87.4481,-0.141738,0.212644,0.179019,0.0237846,0.082858,-0.26513,4.10138,-63.4784,26.9138,-55.5184,37.5691,-51.3486,-25.5712,-4.22261,-23.6786,2.54762,-18.5954,29.4951,-80.99,4.32252
-827.71,0.993499,0.286915,4,15,0,829.435,87.3211,-0.162902,0.213275,0.187559,0.0358045,0.123604,-0.296878,-1.59185,-6.26162,-20.3002,29.0487,-13.9107,-42.3381,8.86243,-7.42638,-17.0076,-27.4873,82.3509,4.72283,29.0526,-16.0786
-827.608,0.92978,0.286915,4,15,0,830.827,87.3318,-0.154092,0.208627,0.11704,0.0171065,0.14169,-0.257731,4.63597,7.78283,17.3193,-69.6283,2.89881,2.23912,19.0135,-6.63827,10.9782,15.4806,-82.9992,7.43322,-27.444,7.60249
-828.924,0.747967,0.286915,4,15,0,835.711,87.9894,-0.173433,0.198095,0.147399,0.0748344,0.157788,-0.251668,-9.48074,-50.2225,31.9576,-33.4346,50.8544,-32.9455,-26.5,7.28588,53.0999,32.9285,3.20646,98.8952,29.8944,8.62917
-829.755,0.926956,0.286915,4,15,0,833.624,87.3207,-0.139887,0.255796,0.132588,-0.00918765,0.121861,-0.300346,-6.57017,68.8803,32.3159,13.0396,1.87823,-11.9287,-6.26489,-7.48574,-9.89935,115.82,-132.16,38.5267,-75.2363,-22.256
-827.659,1,0.286915,3,7,0,833.322,87.4713,-0.141211,0.221882,0.140416,0.0250935,0.158926,-0.234617,7.54924,-2.51242,3.0765,5.72175,81.3629,-27.4545,17.8407,-3.49989,82.6759,18.29,-4.15631,40.8402,69.4037,21.3886
-827.649,0.985943,0.286915,3,15,0,830.451,87.5574,-0.123599,0.231439,0.129559,-0.000137892,0.142754,-0.241138,-4.02549,-5.97452,-10.7381,7.06971,50.0164,40.5536,11.6216,-1.77132,81.0447,31.0737,-58.3583,27.2968,30.53,17.4852
-826.497,0.99587,0.286915,3,15,0,828.575,87.6101,-0.176907,0.208924,0.151515,0.0160956,0.137006,-0.238448,-1.70711,6.79845,7.09349,-33.9006,-45.6494,-6.53133,16.5807,-0.681771,-65.819,-33.5672,15.5724,-56.0474,-5.25071,21.4161
-826.096,0.996563,0.286915,3,15,0,827.586,87.6374,-0.142216,0.220389,0.154873,0.0129676,0.130735,-0.221966,0.843335,45.5221,26.8767,-2.11475,9.38925,-15.1268,-2.47636,-0.118399,25.1553,-3.93787,-0.516422,3.53354,19.2882,32.1058
-829.22,0.868694,0.286915,3,15,0,831.609,87.7316,-0.139856,0.212108,0.147699,0.0295461,0.172565,-0.239702,-3.3153,23.7599,10.1712,26.7553,-20.5105,-39.5143,22.9647,1.81429,112.032,-26.5435,54.3239,22.688,133.663,15.2159
-828.427,1,0.286915,3,15,0,833.506,87.4004,-0.201397,0.199252,0.11224,0.0486353,0.164787,-0.230183,-7.37113,-76.8591,-23.9427,-33.4536,11.0287,-19.2266,-3.98737,-4.89857,-57.4055,31.4181,-65.1486,11.0438,-39.0755,22.5241
-828.275,0.905271,0.286915,4,15,0,832.143,87.868,-0.118893,0.211786,0.170346,0.0199739,0.129711,-0.297648,-2.16361,67.2872,31.1471,30.2152,-9.5151,14.737,25.6845,5.1858,117.423,-43.8893,56.707,28.8794,91.9364,-17.6885
-827.547,0.991668,0.286915,3,15,0,829.9,87.8144,-0.149678,0.225992,0.182893,-0.00158325,0.0818206,-0.254037,-4.42785,29.0432,11.1871,31.8484,-0.937425,37.9058,17.0737,3.61767,-84.51,-10.8607,-3.99867,-37.9381,-83.2056,9.9535
