# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=15421
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df1_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,z_beta.4,z_beta.5,aux_unscaled,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_z_beta.4,p_z_beta.5,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_z_beta.4,g_z_beta.5,g_aux_unscaled
-828.78,0.973693,0.289431,3,15,0,834.401,87.8121,-0.167529,0.222209,0.177715,0.0633217,0.126528,-0.219742,-7.3867,28.145,-78.1244,8.0655,45.1238,-21.3369,9.89087,3.33335,11.4584,64.455,9.21998,101.6,-14.8094,28.0935
-827.507,0.969323,0.289431,4,15,0,832.027,87.499,-0.150823,0.204672,0.115458,0.0306136,0.163501,-0.295878,-1.34344,-39.2623,15.9642,25.3711,-47.2826,15.4113,-50.2458,-3.31985,76.2472,11.5578,-56.0915,37.0973,40.712,-15.0915
-825.998,0.836516,0.289431,4,15,0,831.203,87.635,-0.145303,0.240499,0.178979,0.0208477,0.124924,-0.254467,-4.9722,-37.1185,-32.2775,-3.51164,-52.9139,61.1317,-14.36,-0.177002,20.1301,42.0532,23.9741,43.4347,20.9409,12.8071
-830.037,0.910245,0.289431,3,7,0,832.571,87.4389,-0.167334,0.200769,0.0849046,0.0245713,0.171057,-0.311822,3.29906,-12.312,-21.9709,42.6494,42.2296,24.6427,8.96036,-4.85286,23.4991,29.9202,-134.342,11.2909,-16.2243,-29.7196
-826.346,0.995706,0.289431,4,15,0,833.31,87.8966,-0.142577,0.20991,0.159616,0.00930425,0.131139,-0.268309,-6.58638,2.55203,-34.8471,-82.8058,-2.20755,61.746,-25.692,5.51279,21.7979,-53.2371,35.8496,-34.5878,44.4464,3.78233
-830.505,0.96228,0.289431,3,7,0,832.278,88.166,-0.190355,0.21334,0.14596,0.0463579,0.161779,-0.197456,6.35146,0.569107,29.0107,-3.98897,-2.14713,-27.736,3.47452,9.87289,-29.7001,20.4083,9.73359,14.5298,16.8217,38.0285
-828.622,0.947727,0.289431,4,15,0,834.462,87.1566,-0.158392,0.198066,0.149883,0.0337537,0.13913,-0.311708,1.10838,50.2602,-45.4186,-38.1364,44.4491,6.37216,50.422,-11.5534,19.2176,-37.3239,16.4556,1.91909,26.2265,-26.8188
-829.493,0.996073,0.289431,4,15,0,831.709,88.0247,-0.198537,0.198203,0.123582,0.0473886,0.18343,-0.207749,-7.25875,-2.69226,-16.7367,-33.131,-22.4732,0.113883,11.278,7.35391,-24.7692,-7.90436,5.82555,-11.9401,41.0264,33.87
-828.562,0.990424,0.289431,4,15,0,831.844,87.1425,-0.145758,0.202953,0.165601,0.0301966,0.126793,-0.29069,-0.534502,39.1052,-0.405804,0.962719,-28.2078,-41.4559,-38.2931,-11.399,36.9001,-40.1872,37.8498,10.7969,33.2291,-14.0839
-828.816,0.958592,0.289431,2,3,0,829.675,87.15,-0.154736,0.204056,0.169013,0.022508,0.129403,-0.30264,3.67388,-20.0813,21.1748,-11.6856,-6.0142,-9.57617,-5.87257,-11.4988,-0.719657,-62.6991,62.529,-32.1055,40.6777,-21.7593
-829.996,0.977656,0.289431,3,7,0,831.581,87.1701,-0.137599,0.205038,0.149041,0.0375366,0.125611,-0.33042,-4.16434,-13.3703,-4.77027,40.7874,-12.5894,10.5293,17.1346,-11.6616,79.4644,12.1338,-33.8534,76.0386,-0.706531,-40.8053
-826.922,0.960247,0.289431,3,7,0,832.633,87.5337,-0.150238,0.213878,0.155589,0.0127736,0.0980873,-0.314167,-10.6525,3.60281,-63.0987,0.670688,-14.9174,5.48644,-35.8567,-2.61442,-49.2801,6.88639,-58.8533,-1.34668,-94.8595,-24.9021
-826.747,1,0.289431,4,15,0,827.975,87.634,-0.147102,0.240877,0.166032,0.0172127,0.117949,-0.217308,-3.41466,30.4801,-5.33109,14.4249,27.9708,8.26491,0.270453,-0.183174,-0.209832,58.5631,-25.0681,44.041,-24.8882,33.6132
-827.236,0.944335,0.289431,4,15,0,829.485,87.8742,-0.125607,0.196924,0.159893,0.0105617,0.0929482,-0.282217,0.580058,7.16653,25.5276,-28.3695,30.8837,-21.9907,-32.1915,5.16641,23.9236,-55.5849,-21.5791,-8.66632,-41.6601,-6.36635
-827.076,0.938011,0.289431,4,15,0,829.032,87.5124,-0.146756,0.237883,0.179417,0.0368663,0.111169,-0.267219,4.32159,13.2892,-43.589,1.13147,-1.08819,-33.4339,-4.63378,-2.84327,19.2476,80.2715,-13.742,96.6401,-31.1687,2.99176
-828.002,1,0.289431,4,15,0,829.505,87.9171,-0.122637,0.256679,0.180173,-0.039768,0.115814,-0.29495,-2.64543,46.4077,-8.98345,6.606,-15.0204,0.695307,14.0695,6.28332,-6.84282,-21.3926,47.9278,-83.7584,52.3115,-15.5001
-826.557,0.997851,0.289431,3,7,0,828.857,87.5255,-0.124558,0.234519,0.1502,0.00224624,0.105723,-0.260931,-5.92265,-13.7311,-37.2914,6.53086,34.3337,7.89048,12.8477,-2.52601,32.5049,51.148,-76.6767,43.4614,-49.7061,7.78422
-828.445,0.959909,0.289431,3,15,0,829.385,87.6556,-0.147152,0.200965,0.148003,-0.0183475,0.116444,-0.234261,3.31498,-11.503,-19.3447,4.98164,11.6179,23.4036,9.90465,0.249434,-49.8495,-97.4361,10.5262,-118.153,-5.44078,20.0141
-830.383,0.997878,0.289431,4,15,0,832.911,87.3913,-0.212388,0.185734,0.156805,0.0568623,0.161651,-0.329198,-7.13666,42.5148,-9.13757,18.4709,15.3073,4.49234,-12.7545,-6.19454,-101.402,-68.6332,89.3275,-54.059,34.5029,-40.8139
