# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=32105
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df2_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,aux_unscaled,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_aux_unscaled
-835.716,0.947969,0.463035,3,7,0,840.398,87.3587,-0.0733569,0.259587,0.273796,-0.297796,-3.15028,128.058,16.3555,46.9731,-34.959,-6.5715,44.9382,39.0731,69.8077,-36.2927
-834.34,0.990048,0.463035,3,7,0,837.215,87.8282,-0.0887906,0.249946,0.239686,-0.175569,4.27913,-38.927,-86.121,-24.7181,18.0795,3.3424,-5.81382,50.3301,-23.0671,39.8199
-833.805,0.997044,0.463035,3,7,0,835.566,87.7399,-0.0859451,0.214631,0.241155,-0.181251,-2.91419,6.73573,-45.13,-6.90393,-33.5936,1.76562,1.76459,-45.9345,28.0277,37.4616
-832.722,0.944664,0.463035,2,3,0,835.249,87.7637,-0.084502,0.230788,0.23526,-0.204924,0.347703,8.10871,77.1881,-25.3009,-33.5756,2.30861,5.91867,5.63154,-9.97333,25.4167
-835.509,0.913601,0.463035,2,7,0,835.933,88.0206,-0.0770969,0.24845,0.241696,-0.170777,1.99716,14.5524,26.0178,22.5744,2.07791,6.75624,25.0022,43.2739,-15.5908,40.3576
-835.605,0.905849,0.463035,3,7,0,840.188,87.9302,-0.100237,0.219657,0.271517,-0.258967,4.79,64.5817,44.9564,-29.1868,52.8794,6.12691,-42.7683,-85.5437,120.086,-12.7796
-835.689,1,0.463035,3,7,0,836.965,87.5019,-0.0971549,0.23505,0.197821,-0.19835,-4.5213,47.8347,-6.08126,-35.7336,-0.652614,-2.6756,-29.3305,69.4234,-119.829,23.4187
-836.231,0.978926,0.463035,3,7,0,837.818,87.7543,-0.0707434,0.232281,0.285035,-0.281511,-5.2788,42.0948,-32.7665,30.0855,6.1045,2.47926,52.0747,-70.2412,149.274,-27.5567
-839.601,0.860406,0.463035,3,7,0,842.705,87.756,-0.0879938,0.237357,0.306153,-0.291815,-0.532004,-112.236,45.5114,49.2062,-2.68572,2.56969,-4.6422,-90.0702,214.634,-40.4632
-836.311,1,0.463035,3,7,0,839.882,87.5152,-0.0901147,0.218836,0.186735,-0.186619,2.64922,40.0338,-112.792,30.6188,7.9751,-2.36779,-9.53695,38.838,-125.141,29.2045
