# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=15421
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df1_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,z_beta.4,z_beta.5,aux_unscaled,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_z_beta.4,p_z_beta.5,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_z_beta.4,g_z_beta.5,g_aux_unscaled
-826.804,0.88774,0.269779,4,15,0,834.228,87.5694,-0.140086,0.217697,0.173505,0.0102449,0.127847,-0.218435,-6.1212,15.913,-61.8289,45.6694,71.3057,54.4393,1.41848,-1.45632,23.8817,-40.9849,54.5033,-21.9121,51.6767,32.8126
-827.263,0.998779,0.269779,4,15,0,828.684,87.8001,-0.146257,0.256379,0.158134,0.00400493,0.132046,-0.318886,-2.30692,19.5652,-8.88666,22.9384,20.6904,-10.4947,-28.3293,3.77542,4.17065,95.1979,-39.8018,42.1085,-4.97885,-28.388
-829.55,0.959324,0.269779,4,15,0,832.15,87.8227,-0.129229,0.184343,0.179408,0.00943512,0.0775669,-0.316529,2.10262,-32.4643,44.4592,-23.5807,-27.0245,25.3355,-18.5009,4.29841,-13.1015,-123.569,34.7372,-57.8466,-46.2409,-31.5878
-828.31,1,0.269779,4,15,0,831.437,87.3918,-0.191224,0.226911,0.146545,0.0276531,0.181013,-0.283434,-0.234291,-33.4708,0.490663,-36.2108,-33.8006,32.4767,36.7267,-5.64157,-37.3223,8.94623,50.6648,-30.6757,81.4501,-9.18966
-830.689,0.929715,0.269779,4,15,0,834.325,88.0084,-0.216039,0.177491,0.118833,0.070348,0.1489,-0.229883,2.12641,3.6485,52.7543,56.9038,-40.0649,8.00403,18.7054,7.35731,-93.0107,12.7267,-63.4446,18.4385,-85.6099,18.1766
-829.478,0.990359,0.269779,4,31,0,836.565,87.2494,-0.161519,0.257824,0.178682,0.0230291,0.149729,-0.257469,-5.00921,40.1525,9.10418,-40.2287,-54.9367,-82.9055,-19.8623,-8.38983,7.26402,76.7536,43.0002,46.8873,56.898,4.0666
-826.507,0.994931,0.269779,4,15,0,830.903,87.3737,-0.134993,0.214974,0.163365,0.00243102,0.11459,-0.241963,6.20921,9.70981,-39.2082,-43.2604,-15.9646,-63.7893,1.20934,-5.56646,11.9149,-38.1303,12.5668,-27.2228,8.76405,19.2729
-833.924,0.852727,0.269779,3,7,0,836.473,86.7633,-0.139606,0.246544,0.162895,-0.00998103,0.115045,-0.253181,1.95088,41.6488,10.7615,32.3705,14.2887,47.2468,-5.92839,-18.5819,-18.6983,34.8631,-24.493,-10.6451,-20.2049,-2.27477
-826.701,0.997566,0.269779,3,7,0,836.23,87.5196,-0.139286,0.189567,0.137794,0.0146262,0.126393,-0.257554,-18.4259,44.0084,12.1999,-2.2583,-20.7379,1.62913,4.97167,-2.6355,32.4352,-66.4001,-16.0291,-28.2851,6.87802,9.51041
-827.755,0.991668,0.269779,4,15,0,830.991,87.7705,-0.0997556,0.275477,0.210535,-0.0412847,0.070441,-0.290269,-6.71474,-18.9843,8.11489,55.2705,23.4109,22.01,-19.1187,2.89167,-0.374598,35.621,23.2872,-15.9282,-20.2828,-12.1894
