# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1207707844
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df0_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,aux_unscaled,p_gamma.1,p_aux_unscaled,g_gamma.1,g_aux_unscaled
9.70158,0.996025,0.39643,2,7,0,-8.56771,0.51634,-0.0129215,47.0438,9.70423,-8.45693,-0.630854
9.34569,0.944653,0.39643,3,15,0,-7.46706,0.512664,0.0663426,-12.3625,19.8488,-11.9608,8.41356
8.86269,0.968388,0.39643,2,7,0,-7.70028,0.524106,0.11494,45.3617,10.5281,2.53809,13.4386
9.60396,0.999906,0.39643,3,7,0,-8.7962,0.531339,-0.0371661,-7.09526,-13.0553,14.9061,-3.80615
9.64754,0.99993,0.39643,4,15,0,-9.52574,0.522379,0.0280637,-19.6237,0.368242,0.613961,4.30307
8.69583,0.979401,0.39643,3,7,0,-8.55426,0.550171,0.0883876,21.212,-0.0270326,34.8498,9.83345
9.60629,0.993554,0.39643,2,7,0,-8.17234,0.524753,0.035654,55.9352,9.83641,3.86063,5.15496
8.88692,0.98387,0.39643,3,7,0,-8.74602,0.500476,0.089995,-9.11845,-4.96936,-26.4064,10.4125
9.57153,1,0.39643,3,7,0,-8.70374,0.534224,0.0201016,-32.3026,10.7754,17.3782,3.17171
8.59031,0.970247,0.39643,3,7,0,-8.22138,0.495447,0.103702,-11.9606,-8.34949,-31.7153,11.5103
6.15361,0.937932,0.39643,2,3,0,-6.06592,0.495989,0.241143,16.5578,-0.554613,-23.6241,23.62
5.91549,0.994117,0.39643,3,7,0,-5.42593,0.553996,-0.203387,-35.6365,-4.40092,70.8291,-31.5687
5.19324,0.939563,0.39643,2,3,0,-4.20062,0.555596,-0.221479,-29.6772,12.4095,77.0981,-35.2276
7.93996,1,0.39643,3,7,0,-4.48378,0.511685,0.1694,-54.4376,23.3062,-10.7685,18.3171
7.49042,0.997458,0.39643,4,15,0,-6.46211,0.482919,-0.119104,41.4758,-10.2386,-72.8577,-18.0877
9.35668,1,0.39643,2,3,0,-7.48008,0.499893,-0.0140035,53.8994,14.3932,-33.3747,-1.45194
8.33135,0.981837,0.39643,3,7,0,-7.96519,0.54789,-0.116136,30.225,4.11639,48.1723,-16.0449
8.41322,0.996114,0.39643,3,7,0,-7.13476,0.531055,0.142478,-61.1671,4.66935,10.1033,15.9385
7.56,0.992255,0.39643,3,7,0,-6.6954,0.576399,0.046135,0.515079,-13.6406,73.1323,2.36425
9.25851,0.998736,0.39643,2,7,0,-7.16946,0.547009,0.00400548,-77.9967,-6.13712,36.6178,0.567119
8.65454,0.929507,0.39643,2,7,0,-6.12578,0.548447,0.0979237,-0.599242,23.3287,32.1051,10.9262
8.31403,0.996386,0.39643,3,7,0,-7.94784,0.564645,0.0492745,9.64517,8.51542,56.9911,4.25451
5.63699,0.91907,0.39643,2,3,0,-5.48188,0.595446,-0.013695,20.9727,1.8969,111.22,-8.83443
4.95003,0.9761,0.39643,3,9,0,-4.06126,0.4389,0.0779731,51.6413,3.27092,-104.647,1.08165
7.01407,0.948505,0.39643,3,15,0,-0.700588,0.523546,-0.20454,-141.549,-1.42899,3.56148,-29.5166
9.62237,1,0.39643,3,7,0,-7.11311,0.524273,0.0327746,3.09217,-23.2252,3.21986,4.83264
9.0437,0.985811,0.39643,3,7,0,-8.92929,0.525645,0.100287,-2.30195,-4.92593,4.46802,11.9933
9.22327,0.97462,0.39643,3,7,0,-7.40413,0.498071,0.0351773,9.82661,-19.621,-32.7575,4.33238
9.57446,0.994409,0.39643,4,15,0,-8.73756,0.507662,-0.00487198,49.8425,-3.44917,-21.2227,0.105464
9.46109,0.991652,0.39643,2,7,0,-9.07362,0.539698,-0.0264579,-34.9371,0.858634,27.5653,-2.77492
9.50862,0.999611,0.39643,2,3,0,-9.43009,0.536964,-0.0335797,-15.7053,0.446414,23.655,-3.55555
9.67539,0.994972,0.39643,3,7,0,-9.24968,0.525354,0.0184665,27.1813,-6.44922,4.84747,3.17768
9.48468,0.9948,0.39643,3,7,0,-9.36641,0.539727,0.00559153,-13.5943,-3.59725,25.8994,1.21335
9.24585,0.959324,0.39643,2,7,0,-7.40312,0.497905,0.0280074,76.2493,-1.70318,-33.4599,3.49499
9.49002,0.999656,0.39643,2,3,0,-9.19623,0.504122,-0.00478735,27.2236,-3.61187,-26.4811,-0.0525724
9.29166,0.990372,0.39643,1,3,0,-9.18591,0.497838,-0.00859745,-18.0381,-0.852531,-36.0957,-0.916853
9.30406,0.984751,0.39643,3,7,0,-8.27755,0.509047,0.0651199,-52.5088,5.85028,-16.6671,8.17999
7.72529,0.956689,0.39643,3,7,0,-7.12522,0.491007,-0.135132,-5.6159,11.27,-59.6323,-19.5858
6.54375,0.954926,0.39643,2,3,0,-6.3977,0.481862,-0.15943,20.5855,1.65522,-81.1039,-24.9251
6.79813,0.981568,0.39643,2,3,0,-5.51435,0.496863,-0.188316,-56.4933,-7.75792,-53.7565,-27.9592
8.84434,1,0.39643,3,7,0,-6.53154,0.531383,0.112587,-40.6709,-19.6408,11.1095,13.1119
8.57992,0.99491,0.39643,2,3,0,-8.5451,0.534217,0.129085,8.58865,1.58067,13.9751,14.6189
8.94416,0.999343,0.39643,3,7,0,-8.32477,0.543503,0.0840596,1.85562,11.5358,26.8488,9.79531
8.69828,0.994575,0.39643,2,3,0,-8.65556,0.544733,0.103791,0.474719,-3.02979,27.2864,11.7366
9.64252,1,0.39643,3,7,0,-8.60029,0.512558,0.0102374,-33.5689,-12.1658,-13.5308,2.09971
9.62856,0.998724,0.39643,3,7,0,-9.54565,0.518899,0.0309122,13.3206,-2.41439,-4.20628,4.61577
9.71599,0.999897,0.39643,3,15,0,-9.60425,0.525689,-0.00667146,-7.49405,4.4995,5.59633,0.166473
9.57885,0.958699,0.39643,4,15,0,-7.55771,0.524661,0.0407607,79.9376,1.5135,3.69586,5.72879
9.29819,0.989098,0.39643,3,7,0,-8.86826,0.54343,-0.0392938,-36.76,-1.01277,34.2219,-4.67773
8.71753,0.977323,0.39643,3,7,0,-7.81238,0.558147,-0.0188267,48.0273,6.21395,55.3503,-3.32008
9.69394,0.998604,0.39643,3,7,0,-8.54876,0.524058,0.0138509,-59.9089,1.85241,3.03644,2.64683
8.58091,0.95195,0.39643,2,7,0,-7.65368,0.5552,0.0799622,49.158,5.99379,41.752,8.56626
8.97838,0.989084,0.39643,3,9,0,-7.82997,0.49321,-0.0447221,50.0448,8.80747,-46.2419,-5.98296
8.88844,0.995003,0.39643,1,1,0,-8.87648,0.492274,-0.0517378,-5.84445,0.512072,-48.4222,-7.02456
