# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1207707844
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df0_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,aux_unscaled,p_gamma.1,p_aux_unscaled,g_gamma.1,g_aux_unscaled
9.33756,0.993451,0.556394,3,7,0,-7.69397,0.49907,-0.00380681,-7.2772,19.4487,-33.924,-0.236112
8.417,0.930035,0.556394,2,3,0,-7.96597,0.484167,-0.0548431,-20.7028,-8.35421,-62.0388,-8.34681
8.58284,1,0.556394,2,3,0,-8.36537,0.485344,-0.0420027,19.2967,4.47708,-58.5849,-6.43791
8.80311,1,0.556394,3,7,0,-7.8096,0.544942,-0.0919002,46.4496,7.35404,40.6838,-12.1282
9.5265,1,0.556394,2,3,0,-8.81502,0.526297,-0.0619758,34.1251,-8.36572,7.2619,-7.00934
9.26506,0.986149,0.556394,3,7,0,-9.12913,0.501369,0.0465325,13.4701,4.09165,-27.5992,5.81351
8.15895,0.94287,0.556394,2,3,0,-8.13034,0.476269,0.0438326,0.51926,2.5764,-61.6078,3.27524
8.88336,0.996772,0.556394,3,7,0,-7.87978,0.547958,-0.0727032,-53.0987,-1.43809,44.2881,-9.61045
6.51121,0.812467,0.556394,3,7,0,-3.93684,0.543822,0.22962,-64.767,-15.9617,20.3862,22.908
7.55916,0.998376,0.556394,3,7,0,-5.8067,0.510879,0.188832,40.3692,16.5562,-11.1735,19.9571
9.53518,1,0.556394,3,7,0,-7.59597,0.507799,-0.031753,15.2054,-20.7949,-22.178,-3.27801
9.44634,0.936242,0.556394,2,7,0,-8.09385,0.515592,0.0574431,-22.1691,-16.5673,-8.3315,7.51835
8.00353,0.925438,0.556394,2,3,0,-7.82547,0.473277,0.0179033,-14.3022,4.96488,-69.1282,-0.226252
9.09583,0.957182,0.556394,3,7,0,-6.85723,0.544314,-0.0656247,-74.8353,-7.82203,37.5513,-8.31695
9.13187,0.968423,0.556394,2,7,0,-8.07015,0.523917,0.0932285,-32.3523,12.6963,2.41924,11.2993
9.07932,0.994412,0.556394,3,7,0,-8.48364,0.494982,-0.0408532,25.3651,-9.26419,-43.056,-5.30607
9.33745,0.950399,0.556394,2,3,0,-8.25587,0.508984,-0.0702883,-48.9309,-7.42614,-21.9426,-8.4077
9.00809,0.906164,0.556394,2,7,0,-6.87649,0.491875,0.031303,32.0132,-20.2986,-41.582,3.42638
6.41198,0.864921,0.556394,2,7,0,-3.83934,0.457158,0.114596,-67.319,15.0563,-75.8899,8.51084
