# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1020767514
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df1_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,aux_unscaled,p_gamma.1,p_z_beta.1,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_aux_unscaled
8.71395,0.940391,0.520802,3,7,0,-3.45102,0.503361,-0.200761,-0.147011,-85.5334,-46.9131,-3.20155,-36.6748,-42.8989,-17.1891
9.28758,0.998355,0.520802,3,7,0,-7.11958,0.548989,-0.191111,-0.106998,48.1444,25.4558,12.8639,49.3057,-35.123,-11.1369
10.0853,0.978991,0.520802,3,7,0,-7.13359,0.500253,-0.162718,0.0598273,-29.2408,43.4834,9.76558,-28.3346,-15.738,10.9559
11.0122,0.991355,0.520802,3,7,0,-9.13732,0.529474,-0.0766671,-0.00452079,28.9368,8.61713,-20.7897,11.1956,14.771,4.86724
9.28546,0.904478,0.520802,2,7,0,-8.5649,0.569807,-0.102515,-0.0942173,20.216,-14.9122,-9.40729,85.0509,5.9595,-9.59273
9.31408,0.994867,0.520802,3,7,0,-7.57525,0.487134,-0.0616181,-0.122333,-64.5641,-9.56394,7.43587,-65.4069,25.9387,-12.9959
7.93111,0.941167,0.520802,2,3,0,-7.49751,0.486771,-0.0495149,-0.178157,18.226,0.194846,-9.60567,-73.8794,35.5035,-22.6061
10.7993,1,0.520802,2,3,0,-8.05272,0.5165,-0.0717577,-0.107588,-57.2554,22.9704,-16.7333,-9.92343,20.4578,-8.21978
10.9215,0.990808,0.520802,2,7,0,-10.3072,0.538599,-0.153793,-0.0220625,5.67502,-17.3276,8.21945,25.6341,-15.0031,2.5477
10.5032,0.891594,0.520802,2,7,0,-7.45283,0.502573,-0.171949,-0.0188238,-92.7675,-8.43331,0.347908,-29.6014,-21.995,2.11554
10.2057,0.932874,0.520802,3,7,0,-8.62121,0.543897,-0.130681,0.0763121,-49.8665,-21.0407,-7.28492,27.766,-4.88751,13.2186
10.5506,0.945667,0.520802,2,7,0,-7.33409,0.519764,-0.0820333,0.0616878,66.5682,-35.0409,7.20791,-2.82939,11.1454,12.0943
11.1558,0.892524,0.520802,2,7,0,-5.86805,0.541198,-0.109333,-0.0588571,51.4721,-21.9863,-33.0588,31.8887,2.66267,-1.51646
