# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1020767514
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df1_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,aux_unscaled,p_gamma.1,p_z_beta.1,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_aux_unscaled
11.1872,0.998635,0.557896,2,3,0,-10.8195,0.520538,-0.0856287,-0.0881411,4.59571,14.7072,-5.01736,-2.45778,13.4564,-5.05544
9.35933,0.810813,0.557896,2,3,0,-8.00886,0.496928,-0.058522,-0.151931,-50.6494,12.7406,-8.61152,-49.8614,29.1007,-16.5372
8.39755,0.882197,0.557896,1,1,0,-8.36397,0.494221,-0.0462922,-0.173901,8.70343,-0.887079,1.34623,-57.7354,36.9166,-21.1539
9.27729,0.89808,0.557896,3,7,0,-4.77315,0.519609,-0.0852163,0.143393,64.0118,-44.4447,14.1082,-2.57596,8.55356,19.6244
10.96,0.997178,0.557896,2,7,0,-9.34171,0.527787,-0.0991449,0.0357433,8.28742,-9.15866,-18.6154,8.01878,5.75209,9.72116
10.0818,0.961789,0.557896,3,7,0,-9.7163,0.52197,-0.153164,0.092975,-9.13404,-16.4403,-2.32243,0.0391781,-11.7547,15.0291
8.62993,0.96201,0.557896,2,7,0,-8.11838,0.514909,-0.226755,0.0643806,-5.76352,-10.8091,-9.18349,-9.10102,-36.7736,8.62949
9.18279,0.951734,0.557896,3,7,0,-6.52999,0.537713,-0.0695795,0.132147,11.6743,41.5922,-11.7151,17.8452,13.2676,18.0456
9.9573,0.934295,0.557896,3,7,0,-4.83319,0.497292,-0.0461286,-0.0561647,21.8917,-63.0121,-8.90152,-40.5876,29.2305,-3.5917
9.83606,0.975732,0.557896,2,3,0,-9.09211,0.515621,-0.0305756,-0.0734365,-36.9946,15.5151,-1.86383,-10.7679,37.0301,-5.95873
10.1438,0.987092,0.557896,3,7,0,-8.08155,0.543238,-0.155161,0.0652029,25.7414,31.999,12.2857,27.5354,-13.0767,11.7328
10.1124,0.999944,0.557896,3,7,0,-9.00685,0.531324,-0.048997,-0.112384,53.3481,1.67857,6.26026,17.2929,31.3648,-10.1846
9.67083,0.987166,0.557896,3,7,0,-8.86759,0.543946,-0.189634,0.0444407,-42.4016,-10.1266,4.67597,29.654,-25.4867,8.24154
10.316,0.888549,0.557896,3,7,0,-5.58665,0.543164,-0.0738045,-0.121728,-105.56,25.5616,8.55208,39.8418,20.0655,-10.9191
10.8633,0.994908,0.557896,2,3,0,-10.1352,0.541543,-0.0835402,-0.0803916,24.6742,13.5893,-8.51589,33.8863,14.17,-4.75083
11.1196,0.956532,0.557896,3,7,0,-9.53677,0.522409,-0.155764,-0.0645928,56.7242,2.36372,-10.985,0.788383,-17.1645,-2.28257
9.81313,0.917579,0.557896,2,3,0,-9.62763,0.497896,-0.164975,-0.139034,12.9687,-10.4073,0.988624,-46.7125,-24.4653,-14.0249
9.82479,1,0.557896,3,7,0,-9.09942,0.554337,-0.0532431,-0.00462219,2.41665,6.04922,12.5495,48.1421,23.663,2.48082
10.8167,1,0.557896,3,7,0,-9.37136,0.505494,-0.0696831,-0.0326747,44.4166,25.381,3.34638,-25.8404,18.4339,1.01469
11.2446,0.991699,0.557896,2,7,0,-10.3618,0.520154,-0.131668,0.00329819,25.261,-24.0206,0.622469,-2.60928,-6.00404,6.30514
8.44928,0.930854,0.557896,3,7,0,-8.4336,0.522679,-0.0445168,-0.204563,2.55501,-3.13878,0.691358,1.64227,40.2583,-24.8092
8.40829,1,0.557896,3,7,0,-8.08033,0.517981,-0.196251,0.147322,9.79302,-15.9222,0.537944,-4.34261,-22.6369,18.4029
8.98161,1,0.557896,2,3,0,-8.4265,0.519847,-0.187979,0.125459,5.77107,12.2835,-9.23216,-2.3968,-21.2182,16.8475
10.2164,0.995969,0.557896,3,7,0,-8.02862,0.494232,-0.103691,0.0617829,-0.336642,25.7006,-18.1138,-36.0609,3.94398,11.4445
8.88157,0.893164,0.557896,3,7,0,-7.25122,0.548704,-0.142296,0.145001,66.4098,-12.0679,-1.87719,29.5124,-7.54761,19.0472
10.6743,0.977138,0.557896,3,7,0,-7.57777,0.525425,-0.0845456,-0.143127,-79.8202,-2.62831,-15.2113,6.83108,15.5725,-12.8266
10.6598,0.98841,0.557896,3,7,0,-9.8277,0.51895,-0.12592,0.0661919,6.58245,26.1775,-2.14086,-3.8555,-3.41619,12.8767
10.6177,0.956788,0.557896,3,7,0,-8.9538,0.503891,-0.0844911,0.0379894,-34.3049,28.8573,-8.44417,-24.6307,10.8336,9.31146
10.5401,0.995489,0.557896,3,7,0,-10.0956,0.537591,-0.144917,-0.138026,-25.7868,-1.10453,-7.21653,30.3533,-14.4832,-12.4549
9.93824,0.976374,0.557896,2,3,0,-9.92857,0.541034,-0.155999,-0.158244,1.33969,2.72888,-0.308901,38.555,-20.7893,-16.1333
9.72301,1,0.557896,3,7,0,-9.46681,0.496019,-0.0770594,0.0885262,-6.21015,-14.4242,0.534878,-31.9838,12.1262,13.7482
8.11105,0.94085,0.557896,2,3,0,-7.99734,0.494586,-0.0640875,0.169716,-15.0764,2.69479,2.66715,-28.7088,13.7744,20.5428
9.2086,0.99616,0.557896,2,3,0,-7.625,0.496044,-0.0527595,0.0980198,12.732,3.30203,-18.7374,-31.354,19.4112,13.8867
9.55493,0.975883,0.557896,3,7,0,-7.34841,0.545024,-0.162727,-0.161872,-38.9504,31.6566,-11.1978,46.9494,-24.4335,-17.3418
10.5294,0.995194,0.557896,3,7,0,-8.4964,0.490771,-0.0952391,-0.00152328,0.908031,24.134,17.6999,-46.0257,7.67793,4.27709
9.40772,0.935294,0.557896,2,3,0,-9.04964,0.472144,-0.0923078,-0.0216948,29.5793,0.296485,4.0587,-76.5522,9.14883,-0.44139
10.4133,0.992754,0.557896,2,3,0,-9.09031,0.486885,-0.112699,-0.000872615,54.729,-15.9951,3.16478,-51.6968,1.09153,4.12957
9.91338,0.975497,0.557896,3,7,0,-8.9052,0.547198,-0.14153,-0.157979,-37.0438,-12.7593,-9.23652,50.9719,-13.3215,-16.1538
9.98136,1,0.557896,3,7,0,-9.19012,0.557826,-0.134243,-0.111407,-10.6539,-8.04141,-12.5301,65.9899,-8.72761,-10.3066
10.8423,0.98663,0.557896,3,7,0,-8.97032,0.522154,-0.0973081,0.0482578,-73.3368,4.69559,4.394,0.28955,6.23472,11.0261
11.0408,0.98715,0.557896,2,7,0,-10.0958,0.514444,-0.158926,-0.0451591,-5.4609,-17.2544,-11.6679,-12.073,-17.8168,-0.0515594
7.57312,0.816737,0.557896,2,3,0,-7.40121,0.493922,-0.244406,-0.018379,-6.79008,-7.52509,4.5841,-42.7878,-50.2369,-3.65827
8.87856,1,0.557896,2,3,0,-7.1298,0.492528,-0.209437,0.038659,22.8539,35.8017,4.42608,-40.0855,-32.6743,5.95448
8.17618,0.803735,0.557896,3,7,0,-4.61402,0.544124,-0.107868,0.188379,-65.5521,-42.3579,-3.84911,22.4371,1.9597,22.9862
8.25961,0.987783,0.557896,2,3,0,-7.38066,0.547741,-0.113136,0.181083,-9.50206,-2.56333,-13.9536,26.4772,0.609653,22.2529
9.3495,0.965913,0.557896,3,7,0,-5.35414,0.57343,-0.125985,-0.00303647,67.791,-1.77858,23.9776,76.2701,-3.92932,1.74445
9.23748,0.996875,0.557896,3,7,0,-8.65273,0.471321,-0.104279,-0.0728438,-0.373141,-21.3972,3.44997,-86.179,4.93916,-7.06346
10.5544,0.969678,0.557896,2,7,0,-7.73629,0.52961,-0.0624661,0.0288838,87.5655,6.73963,7.63548,10.6633,18.8521,8.05972
9.55646,0.957236,0.557896,2,3,0,-9.3695,0.513881,-0.0231093,0.0248897,18.2711,2.20444,4.0777,-11.2873,33.0853,5.56892
9.47727,0.982722,0.557896,3,7,0,-7.75287,0.531535,-0.201313,-0.107991,-26.7454,14.6208,-16.9428,17.5263,-39.9507,-10.8777
9.6921,1,0.557896,1,1,0,-9.37157,0.53423,-0.194404,-0.107622,1.1128,15.5538,2.97892,22.4323,-36.7017,-10.4053
9.21447,0.962078,0.557896,3,7,0,-8.10065,0.553115,-0.168919,-0.146457,6.49787,-28.774,-5.60197,61.4824,-26.8151,-16.1295
9.48602,0.972391,0.557896,2,3,0,-8.02173,0.556866,-0.184612,-0.0519234,-32.0265,11.8038,14.9471,57.0358,-28.7697,-3.97892
9.3184,0.987795,0.557896,3,7,0,-7.84423,0.505098,-0.0393655,-0.134944,-49.6461,22.4788,4.24268,-32.4536,37.5551,-14.5397
11.1449,1,0.557896,3,7,0,-8.92688,0.532129,-0.119135,-0.111827,33.9825,-36.41,8.26759,18.7546,-1.63433,-8.03941
10.3535,0.947295,0.557896,2,3,0,-10.2393,0.546249,-0.102134,-0.139394,5.67335,-3.80627,-4.47954,47.2698,6.72201,-13.0051
9.20579,0.944197,0.557896,3,7,0,-8.72905,0.472505,-0.103083,0.0523635,-12.0214,10.4534,-8.35956,-65.5611,4.22685,8.26935
11.1195,0.987596,0.557896,3,7,0,-8.88392,0.533618,-0.125467,-0.108754,80.2377,-2.95996,-5.16323,21.364,-4.5825,-7.71146
10.8093,0.963003,0.557896,2,7,0,-10.1027,0.536558,-0.109366,0.0426176,-8.31849,5.83167,12.208,19.7708,2.14222,10.2689
10.2925,0.964274,0.557896,2,7,0,-9.04582,0.499414,-0.17693,-0.0433422,-38.8253,-15.7023,-10.3767,-36.1556,-25.134,-1.31712
11.1208,1,0.557896,3,7,0,-9.96032,0.510878,-0.0837985,-0.0732366,39.1291,23.7313,0.78859,-18.8451,13.8551,-3.35838
10.6803,0.964592,0.557896,3,7,0,-10.0932,0.5085,-0.169536,-0.0109387,41.2128,-0.596193,2.63199,-20.221,-20.7262,3.43761
9.44619,0.935313,0.557896,3,7,0,-8.69692,0.53944,-0.0214876,-0.0193143,6.26423,14.677,10.5976,26.7798,36.7793,-0.0882343
7.37456,0.845462,0.557896,3,7,0,-5.44375,0.466086,-0.205379,0.0606812,52.1297,-15.1045,-13.3841,-72.8559,-29.9235,5.66559
8.17947,0.872493,0.557896,3,7,0,-3.10168,0.574016,-0.0451454,-0.058343,-86.8408,-42.1318,-11.1619,86.1381,29.7736,-7.40692
8.47549,0.993541,0.557896,3,7,0,-6.27808,0.471734,-0.187904,-0.00968595,-29.7054,-2.58007,-20.9668,-75.3548,-27.7157,-0.802395
9.51728,1,0.557896,2,3,0,-8.29972,0.487587,-0.186835,-0.0216508,58.0774,8.62274,-2.42596,-52.8057,-27.9627,-0.195495
9.80714,0.998557,0.557896,3,7,0,-8.12929,0.557534,-0.131484,0.0676941,-28.0035,-29.9412,9.33473,45.7886,-5.23418,11.3627
8.80439,0.968306,0.557896,2,3,0,-8.60964,0.562206,-0.148816,0.11638,-20.8887,-1.57928,-3.36088,47.007,-9.92784,15.3659
9.78162,0.993187,0.557896,3,7,0,-7.60686,0.542412,-0.0614181,0.0785414,-48.5702,14.6589,-16.319,25.7734,17.4008,12.6316
11.4323,0.994125,0.557896,2,3,0,-9.51835,0.528826,-0.112088,-0.0473869,-27.8984,-23.1957,-15.4523,11.1472,1.46152,0.444987
11.0322,0.907486,0.557896,1,3,0,-9.65158,0.506407,-0.0954426,-0.0975718,53.5541,-10.233,8.58522,-27.7797,9.2312,-6.5202
9.2165,0.846899,0.557896,2,3,0,-8.20334,0.47733,-0.173564,-0.0320656,-40.333,5.50017,-10.143,-70.0129,-23.2279,-2.0789
7.74583,0.954808,0.557896,3,7,0,-6.31414,0.504853,-0.111949,0.210728,-53.5281,-20.555,0.331215,-16.5259,0.861324,24.8892
5.66474,0.971431,0.557896,3,7,0,-5.03938,0.551819,-0.0984313,-0.300445,35.3686,11.7369,3.56401,80.1373,11.8515,-42.0964
5.66474,0.87786,0.557896,1,1,0,-4.47893,0.551819,-0.0984313,-0.300445,-38.5366,-2.95703,12.6235,80.1373,11.8515,-42.0964
8.58218,0.999822,0.557896,2,7,0,-4.50132,0.48126,-0.158868,0.122106,-41.3926,-6.60777,28.3252,-46.9463,-12.7793,15.6312
9.28856,0.971526,0.557896,2,7,0,-6.93002,0.568323,-0.0756105,-0.0696223,-49.4874,-15.748,17.1197,78.4674,17.2922,-6.57246
11.1041,1,0.557896,2,3,0,-9.13297,0.51178,-0.0809057,-0.0215598,-68.91,-17.5084,3.65337,-15.6119,13.6219,2.95681
9.75939,0.92016,0.557896,2,3,0,-9.47511,0.509407,-0.112416,0.120008,-12.2414,12.3043,3.68934,-14.5224,0.916574,17.7083
10.3058,0.939367,0.557896,3,7,0,-5.70348,0.556218,-0.0934971,-0.0792357,82.3086,42.7366,7.67461,59.1142,9.75217,-5.71909
9.5744,0.967672,0.557896,3,7,0,-8.29762,0.559436,-0.0675111,0.0471165,-55.1303,-8.72883,6.66185,50.2557,16.448,8.35033
10.5245,0.989391,0.557896,3,7,0,-8.8018,0.494166,-0.141056,0.0179105,-50.2767,-18.1693,-10.8582,-39.4526,-9.2411,6.66814
10.1718,0.975976,0.557896,3,7,0,-9.18722,0.519688,-0.189897,-0.0850837,-43.8322,3.02435,8.92272,-3.9244,-33.0842,-6.68229
10.1793,0.862699,0.557896,3,7,0,-5.97343,0.518606,-0.0523622,-0.122505,37.988,21.5076,27.1819,-6.26446,30.3916,-11.2923
10.1007,0.994097,0.557896,3,7,0,-8.90919,0.491871,-0.062443,0.00469381,-14.9059,-17.6268,13.2316,-43.8539,19.7983,4.1791
11.1605,0.996576,0.557896,2,7,0,-9.92851,0.515942,-0.129331,0.0139492,-42.5638,20.1745,6.1628,-8.58472,-5.02562,7.44684
10.6341,0.937464,0.557896,3,7,0,-9.68127,0.529276,-0.0752893,0.0435928,-3.98237,0.118164,14.8057,9.90437,13.8838,10.0318
10.7177,0.989209,0.557896,3,7,0,-9.64266,0.548783,-0.142994,-0.0582792,41.6062,10.9478,9.22753,44.3969,-11.5573,-2.31182
10.2753,0.949435,0.557896,3,7,0,-8.69813,0.53609,-0.0496092,0.0150315,68.7287,3.40273,-1.88971,20.221,24.0748,5.79584
10.1716,0.984328,0.557896,3,7,0,-8.9231,0.495767,-0.176462,-0.0296219,-19.8162,6.82376,15.7002,-40.8753,-24.2715,0.127725
9.02591,0.920153,0.557896,3,7,0,-8.05775,0.576319,-0.0928298,0.00783239,31.2426,23.5182,-0.966151,78.8228,8.42568,2.42815
8.81617,1,0.557896,3,7,0,-8.39534,0.574777,-0.0808101,0.0496831,23.8695,-5.94772,-6.67972,70.4546,11.8348,7.15725
8.03226,0.990021,0.557896,3,7,0,-7.1282,0.566439,-0.119638,0.158624,42.4099,16.0226,-1.8958,47.7527,-1.1391,19.0299
