# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1207707844
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df0_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,aux_unscaled,p_gamma.1,p_aux_unscaled,g_gamma.1,g_aux_unscaled
9.18219,0.868177,0.663584,3,7,0,-6.36319,0.535038,0.0784494,82.8939,12.0696,16.4934,9.57877
8.96291,0.986166,0.663584,3,7,0,-8.57848,0.530179,-0.111362,-29.0837,-5.30762,15.1522,-14.1986
8.72571,0.76016,0.663584,2,3,0,-5.57926,0.558393,-0.0111702,-63.3658,22.2578,54.8816,-2.36224
8.73288,0.985465,0.663584,3,7,0,-7.38741,0.520809,0.124425,-51.1798,-11.3868,-1.29642,14.3492
9.05917,1,0.663584,3,7,0,-8.29859,0.508202,-0.0957152,-38.1409,8.69832,-24.4783,-12.0856
9.56469,0.986919,0.663584,2,3,0,-8.77351,0.522997,0.0438786,-20.5457,-13.3446,1.42804,6.08435
8.75041,0.941171,0.663584,2,3,0,-8.60651,0.558327,0.00372798,11.536,-5.22117,53.1774,-0.480546
7.3102,0.907128,0.663584,2,3,0,-6.45334,0.546261,0.189439,-49.4936,-3.37687,24.5461,19.5361
7.8686,1,0.663584,2,3,0,-7.09539,0.554138,0.143562,-6.02113,14.4328,35.6062,14.9867
7.94967,1,0.663584,2,3,0,-7.76458,0.555509,0.134507,9.43652,6.52259,37.7985,14.0314
8.01853,0.992851,0.663584,2,7,0,-7.71197,0.561781,0.107603,-1.50301,-9.14822,47.332,10.8513
9.55853,0.991745,0.663584,2,3,0,-7.77814,0.536528,0.00667611,-60.6588,-12.3342,21.1963,1.49407
9.66826,0.965506,0.663584,1,3,0,-9.05531,0.516505,0.0166504,42.7673,-1.08129,-7.73669,2.94002
9.63412,0.970801,0.663584,3,7,0,-9.04975,0.511145,0.00267188,39.7145,-4.03455,-15.8058,1.1523
8.31178,0.833777,0.663584,1,3,0,-7.37985,0.478297,-0.00422804,52.875,0.648357,-64.7956,-2.33416
9.67991,0.907141,0.663584,1,3,0,-6.90175,0.517469,0.0149482,90.8112,3.04058,-6.38635,2.75383
8.50448,0.911983,0.663584,2,3,0,-8.35481,0.561788,-0.0192076,-21.1899,0.25671,60.961,-3.79195
8.81582,1,0.663584,1,1,0,-8.51886,0.556639,-0.0128611,29.0488,-2.10183,52.417,-2.39042
8.79011,0.999859,0.663584,3,7,0,-8.44324,0.486326,0.0124382,-17.7043,-8.14756,-51.1451,0.670209
8.19945,0.957416,0.663584,3,7,0,-7.58175,0.551783,0.126106,38.873,-5.60582,34.1703,13.4932
8.43569,0.998412,0.663584,3,7,0,-7.47467,0.506608,-0.134321,-53.7371,0.116166,-29.5067,-18.0684
9.39472,1,0.663584,2,3,0,-8.06297,0.503141,0.0298596,-17.3266,-18.3608,-26.0732,4.01985
9.34606,0.97256,0.663584,3,7,0,-8.66996,0.501072,-0.0329462,-44.7835,1.54112,-32.8075,-3.802
6.38617,0.794467,0.663584,2,3,0,-5.97081,0.499483,-0.20689,35.3282,0.0771315,-49.9587,-31.0582
8.39793,1,0.663584,2,3,0,-6.37662,0.519734,-0.148164,47.2979,18.6931,-4.36126,-19.8419
9.2388,0.943241,0.663584,2,3,0,-7.23424,0.496841,0.0175709,32.693,21.2426,-35.6763,2.19669
8.59494,0.953106,0.663584,3,7,0,-8.2918,0.559947,0.0429329,-9.00363,8.6935,51.3671,4.03397
7.05404,0.940682,0.663584,2,3,0,-6.81198,0.572938,0.139721,-25.4696,2.67651,56.8278,12.8894
